Index,Name,Artist,Album,Mood
0,Shooting Star,Shooting Star,Shooting Star,Sad
1,Space and Time,Shooting Star,Space and Time,Calm
2,Everything Ends,Shooting Star,Everything Ends,Sad
3,Interrupted,What Another Man Spills,Interrupted,Calm
4,Saturday Option,What Another Man Spills,Saturday Option,Sad
5,Shucks,What Another Man Spills,Shucks,Sad
6,Give Me Your Love (Love Song),What Another Man Spills,Give Me Your Love (Love Song),Happy
7,Life #2,What Another Man Spills,Life #2,Sad
8,Scamper,What Another Man Spills,Scamper,Sad
9,It's Not Alright,What Another Man Spills,It's Not Alright,Sad
10,N.O.,What Another Man Spills,N.O.,Sad
11,I've Been Lonely For So Long,What Another Man Spills,I've Been Lonely For So Long,Sad
12,Magnificent Obsession,What Another Man Spills,Magnificent Obsession,Sad
13,King Of Nothing Never,What Another Man Spills,King Of Nothing Never,Sad
14,Theme From The Neil Miller Show,What Another Man Spills,Theme From The Neil Miller Show,Happy
15,Begin,I Hope You're Sitting Down,Begin,Sad
16,Betweemus,I Hope You're Sitting Down,Betweemus,Happy
17,Soaky In the Pooper,I Hope You're Sitting Down,Soaky In the Pooper,Calm
18,Because You Are the Very Air He Breathes,I Hope You're Sitting Down,Because You Are the Very Air He Breathes,Sad
19,Under the Same Moon,I Hope You're Sitting Down,Under the Same Moon,Sad
20,I Will Drive Slowly,I Hope You're Sitting Down,I Will Drive Slowly,Sad
21,"Oh, What a Disappointment",I Hope You're Sitting Down,"Oh, What a Disappointment",Happy
22,Hellmouth,I Hope You're Sitting Down,Hellmouth,Sad
23,"Bon Soir, Bon Soir",I Hope You're Sitting Down,"Bon Soir, Bon Soir",Sad
24,Hickey,I Hope You're Sitting Down,Hickey,Sad
25,Breathe Deep,I Hope You're Sitting Down,Breathe Deep,Sad
26,So I Hear You're Moving,I Hope You're Sitting Down,So I Hear You're Moving,Sad
27,Let's Go Bowling,I Hope You're Sitting Down,Let's Go Bowling,Sad
28,What Was He Wearing?,I Hope You're Sitting Down,What Was He Wearing?,Sad
29,Cowboy On the Moon,I Hope You're Sitting Down,Cowboy On the Moon,Sad
30,The Pack-Up Song,I Hope You're Sitting Down,The Pack-Up Song,Sad
31,Salle des pas perdus,Salle des pas perdus,Salle des pas perdus,Sad
32,L'ombre et la lumière,Salle des pas perdus,L'ombre et la lumière,Sad
33,Ça valait la peine,Salle des pas perdus,Ça valait la peine,Sad
34,La contradiction,Salle des pas perdus,La contradiction,Sad
35,La mer opale,Salle des pas perdus,La mer opale,Happy
36,A l'occasion tu souris,Salle des pas perdus,A l'occasion tu souris,Sad
37,Samba de mon cœur qui bat,Salle des pas perdus,Samba de mon cœur qui bat,Sad
38,Ces matins d'été,Salle des pas perdus,Ces matins d'été,Sad
39,Le dernier train,Salle des pas perdus,Le dernier train,Sad
40,Lou,Salle des pas perdus,Lou,Sad
41,Le jazz et le gin,Salle des pas perdus,Le jazz et le gin,Sad
42,Bientôt,Salle des pas perdus,Bientôt,Happy
43,Mes fenêtres donnent sur la cour,Salle des pas perdus,Mes fenêtres donnent sur la cour,Sad
44,God Finds Us,God Finds Us,God Finds Us,Sad
45,Run Baby Run (Jonah),God Finds Us,Run Baby Run (Jonah),Sad
46,Trust Once More,God Finds Us,Trust Once More,Sad
47,The Road to Emmaus,God Finds Us,The Road to Emmaus,Sad
48,Write Every Day Down,God Finds Us,Write Every Day Down,Sad
49,Traveler,God Finds Us,Traveler,Happy
50,A Hammer and an Awkward Nail,God Finds Us,A Hammer and an Awkward Nail,Sad
51,Grow,God Finds Us,Grow,Sad
52,Forgiveness,God Finds Us,Forgiveness,Sad
53,Everything You Do,God Finds Us,Everything You Do,Sad
54,Patient,Patient,Patient,Energetic
55,The New Year,Transatlanticism,The New Year,Energetic
56,Lightness,Transatlanticism,Lightness,Sad
57,Title and Registration,Transatlanticism,Title and Registration,Happy
58,Expo '86,Transatlanticism,Expo '86,Happy
59,The Sound of Settling,Transatlanticism,The Sound of Settling,Energetic
60,Tiny Vessels,Transatlanticism,Tiny Vessels,Sad
61,Transatlanticism,Transatlanticism,Transatlanticism,Sad
62,Passenger Seat,Transatlanticism,Passenger Seat,Sad
63,Death of an Interior Decorator,Transatlanticism,Death of an Interior Decorator,Happy
64,We Looked Like Giants,Transatlanticism,We Looked Like Giants,Happy
65,A Lack of Color,Transatlanticism,A Lack of Color,Sad
66,Overjoyed,"Furthermore: From the Studio, From the Stage",Overjoyed,Happy
67,Something Beautiful,"Furthermore: From the Studio, From the Stage",Something Beautiful,Happy
68,The Valley Song (Sing of Your Mercy),"Furthermore: From the Studio, From the Stage",The Valley Song (Sing of Your Mercy),Energetic
69,Liquid,"Furthermore: From the Studio, From the Stage",Liquid,Sad
70,The Eleventh Hour,"Furthermore: From the Studio, From the Stage",The Eleventh Hour,Happy
71,Dig,"Furthermore: From the Studio, From the Stage",Dig,Sad
72,Redemption,"Furthermore: From the Studio, From the Stage",Redemption,Sad
73,Love Song For a Savior,"Furthermore: From the Studio, From the Stage",Love Song For a Savior,Energetic
74,Frail,"Furthermore: From the Studio, From the Stage",Frail,Happy
75,Needful Hands,"Furthermore: From the Studio, From the Stage",Needful Hands,Sad
76,Disappear - Live From The Eleventh Hour Tour,"Furthermore: From the Studio, From the Stage",Disappear - Live From The Eleventh Hour Tour,Energetic
77,Like a Child - Live From The Eleventh Hour Tour,"Furthermore: From the Studio, From the Stage",Like a Child - Live From The Eleventh Hour Tour,Energetic
78,Crazy Times - Live From The Eleventh Hour Tour,"Furthermore: From the Studio, From the Stage",Crazy Times - Live From The Eleventh Hour Tour,Energetic
79,I Need You - Live From The Eleventh Hour Tour,"Furthermore: From the Studio, From the Stage",I Need You - Live From The Eleventh Hour Tour,Energetic
